Cell,x,y
B_cells,0.105263158,0.105376725
B_cells,0.216216216,0.214526656
B_cells,0.228571429,0.228375054
B_cells,0.111111111,0.111119752
B_cells,0.055555556,0.055530843
B_cells,0.083333333,0.080773459
B_cells,0.121212121,0.121204605
B_cells,0.03030303,0.030330895
B_cells,0.3125,0.312441278
B_cells,0.052631579,0.052605053
B_cells,0.263157895,0.263487653
B_cells,0.111111111,0.111194658
B_cells,0.033333333,0.033567361
B_cells,0.318181818,0.286233262
B_cells,0.075,0.074959903
B_cells,0.257142857,0.257108413
B_cells,0.068965517,0.068909
B_cells,0.175,0.175077255
B_cells,0.5,0.499702653
B_cells,0.290322581,0.290362883
B_cells,0.133333333,0.133308324
B_cells,0.1,0.099910401
B_cells,0.1,0.099699175
B_cells,0.08,0.080039506
B_cells,0.2,0.200070717
B_cells,0.12,0.119968216
B_cells,0.333333333,0.33362005
B_cells,0.242424242,0.235614925
B_cells,0.071428571,0.069511089
B_cells,0.173913043,0.173547174
B_cells,0.230769231,0.231319726
B_cells,0.277777778,0.277070525
B_cells,0.131578947,0.131348699
B_cells,0.3125,0.311558224
B_cells,0.285714286,0.285944758
B_cells,0.230769231,0.230800938
B_cells,0.153846154,0.153884644
B_cells,0.214285714,0.217599339
B_cells,0.27027027,0.265961536
B_cells,0.1,0.100024434
B_cells,0.125,0.124596639
B_cells,0.083333333,0.084173609
B_cells,0.2,0.199585778
B_cells,0.0625,0.062195246
B_cells,0.25,0.249875192
B_cells,0.375,0.373878694
B_cells,0.135135135,0.134950083
B_cells,0.243243243,0.199146847
B_cells,0.043478261,0.04332925
B_cells,0.086956522,0.086967845
B_cells,0.12,0.119871864
B_cells,0.263157895,0.262997635
B_cells,0.285714286,0.29444082
B_cells,0.272727273,0.272743312
B_cells,0.09375,0.093860046
B_cells,0,0.000282249
B_cells,0,0.001396362
B_cells,0,0
B_cells,0,6.51E-05
B_cells,0.05,0.045486644
B_cells,0.3,0.115153933
B_cells,0.243243243,0.237397869
B_cells,0.04,0.040711402
B_cells,0.205882353,0.205837994
B_cells,0.086956522,0.086942682
